,map_id,station_x,community_id,lat,long,station_y,city,line,community_name,2019,2020,2021,2022,pct_19in22,pct_19in22viz
65,40720,Cottage Grove (Green Line),9,41.780309,-87.605857,Cottage Grove (Green Line),Chicago,Red,WOODLAWN,302869,137986,132372,131256,43.0,79507.0
66,40730,"Washington/Wells (Brown, Orange, Purple & Pink lines)",38,41.882695,-87.63378,"Washington/Wells (Brown, Orange, Purple & Pink lines)",Chicago,Multi,LOOP,2214522,668828,579832,948336,43.0,79507.0
67,40740,Western (Pink Line),33,41.854225,-87.685129,Western (Pink Line),Chicago,Pink,LOWER WEST SIDE,331454,164830,188161,223641,67.0,300763.0
68,40750,Harlem (Blue Line - O'Hare Branch),36,41.98227,-87.8089,Harlem (Blue Line - O'Hare Branch),Chicago,Blue,NORWOOD PARK,844876,313154,323162,408194,48.0,110592.0
69,40760,Granville (Red Line),76,41.993664,-87.659202,Granville (Red Line),Chicago,Red,EDGEWATER,1201804,397034,464166,598670,50.0,125000.0
70,40770,Lawrence (Red Line),31,41.969139,-87.658493,Lawrence (Red Line),Chicago,Red,UPTOWN,975396,340496,94377,0,0.0,0.0
71,40780,Central Park (Pink Line),30,41.853839,-87.714842,Central Park (Pink Line),Chicago,Pink,NORTH LAWNDALE,343146,165239,161323,192451,56.0,175616.0
72,40790,Monroe (Blue Line),38,41.880703,-87.629378,Monroe (Blue Line),Chicago,Blue,LOOP,2268194,606695,517620,818687,36.0,46656.0
73,40800,Sedgwick (Brown & Purple lines),37,41.910409,-87.639302,Sedgwick (Brown & Purple lines),Chicago,Multi,NEAR NORTH SIDE,1160257,363329,466186,676742,58.0,195112.0
74,40810,Illinois Medical District (Blue Line),29,41.875706,-87.673932,Illinois Medical District (Blue Line),Chicago,Blue,NEAR WEST SIDE,789209,318659,328394,418238,53.0,148877.0
75,40820,Rosemont (Blue Line),,41.983507,-87.859388,Rosemont (Blue Line),Rosemont,Blue,,1968273,709783,757001,987422,50.0,125000.0
76,40830,18th (Pink Line),33,41.857908,-87.669147,18th (Pink Line),Chicago,Pink,LOWER WEST SIDE,550089,225878,280616,357240,65.0,274625.0
77,40840,South Boulevard (Purple Line),,42.027612,-87.678329,South Boulevard (Purple Line),Evanston,Purple,,232812,90922,86048,110176,47.0,103823.0
78,40850,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",38,41.876862,-87.628196,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",Chicago,Multi,LOOP,1077009,376074,440200,678727,63.0,250047.0
79,40870,Francisco (Brown Line),14,41.966046,-87.701644,Francisco (Brown Line),Chicago,Brown,ALBANY PARK,489000,159792,171621,233501,48.0,110592.0
80,40880,Thorndale (Red Line),76,41.990259,-87.659076,Thorndale (Red Line),Chicago,Red,EDGEWATER,930062,307788,340467,427304,46.0,97336.0
81,40890,O'Hare (Blue Line),75,41.97766526,-87.90422307,O'Hare (Blue Line),Chicago,Blue,OHARE,3811167,1355724,1799477,2368464,62.0,238328.0
82,40900,"Howard (Red, Purple & Yellow lines)",10,42.019063,-87.672892,"Howard (Red, Purple & Yellow lines)",Chicago,Multi,ROGERS PARK,1650809,762300,724095,835570,51.0,132651.0
83,40910,63rd (Red Line),66,41.780536,-87.630952,63rd (Red Line),Chicago,Red,ENGLEWOOD,937730,452870,367098,387535,41.0,68921.0
84,40920,Pulaski (Blue Line),27,41.873797,-87.725663,Pulaski (Blue Line),Chicago,Blue,WEST GARFIELD PARK,570897,355829,312674,306653,54.0,157464.0
85,40930,Midway (Orange Line),53,41.78661,-87.737875,Midway (Orange Line),Chicago,Orange,GARFIELD RIDGE,2477340,861649,1006170,1377794,56.0,175616.0
86,40940,Halsted (Green Line),66,41.778943,-87.644244,Halsted (Green Line),Chicago,Green,ENGLEWOOD,159214,77657,71321,76495,48.0,110592.0
87,40960,Pulaski (Orange Line),60,41.799756,-87.724493,Pulaski (Orange Line),Chicago,Orange,WEST ELSDON,1465594,568830,613510,820022,56.0,175616.0
88,40970,Cicero (Blue Line),26,41.871574,-87.745154,Cicero (Blue Line),Chicago,Blue,AUSTIN,408539,211816,186396,197380,48.0,110592.0
89,40980,Harlem (Blue Line - Forest Park Branch),,41.87349,-87.806961,Harlem (Blue Line - Forest Park Branch),Chicago,Blue,,344096,156087,135592,131278,38.0,54872.0
90,40990,69th (Red Line),67,41.768367,-87.625724,69th (Red Line),Chicago,Red,GREATER GRAND CROSSING,1423925,682175,593031,627587,44.0,85184.0
91,41000,Cermak-Chinatown (Red Line),35,41.853206,-87.630968,Cermak-Chinatown (Red Line),Chicago,Red,ARMOUR SQUARE,1456259,444746,650972,874515,60.0,216000.0
92,41010,Rockwell (Brown Line),6,41.966115,-87.6941,Rockwell (Brown Line),Chicago,Brown,LINCOLN SQUARE,532671,164282,162803,241429,45.0,91125.0
93,41020,Logan Square (Blue Line),23,41.929728,-87.708541,Logan Square (Blue Line),Chicago,Blue,LOGAN SQUARE,2261714,700242,738118,1023332,45.0,91125.0
94,41030,Polk (Pink Line),29,41.871551,-87.66953,Polk (Pink Line),Chicago,Pink,NEAR WEST SIDE,869191,373443,419554,505310,58.0,195112.0
95,41040,Kedzie (Pink Line),30,41.853964,-87.705408,Kedzie (Pink Line),Chicago,Pink,NORTH LAWNDALE,325089,148445,175019,213900,66.0,287496.0
96,41050,Linden (Purple Line),,42.073153,-87.69073,Linden (Purple Line),Evanston,Purple,,296321,89189,106402,128920,44.0,85184.0
97,41060,Ashland (Orange Line),33,41.839234,-87.665317,Ashland (Orange Line),Chicago,Orange,LOWER WEST SIDE,478166,221502,236020,299234,63.0,250047.0
98,41070,Kedzie (Green Line),28,41.884321,-87.706155,Kedzie (Green Line),Chicago,Green,EAST GARFIELD PARK,416436,200628,162483,196613,47.0,103823.0
99,41080,47th (Green Line),4,41.809209,-87.618826,47th (Green Line),Chicago,Green,GRAND BOULEVARD,314977,146401,133608,154563,49.0,117649.0
100,41090,Monroe (Red Line),38,41.880745,-87.627696,Monroe (Red Line),Chicago,Red,LOOP,2900809,777831,704620,988180,34.0,39304.0
101,41120,35th-Bronzeville-IIT (Green Line),1,41.831677,-87.625826,35th-Bronzeville-IIT (Green Line),Chicago,Green,DOUGLAS,480679,185990,217145,271895,57.0,185193.0
102,41130,Halsted (Orange Line),58,41.84678,-87.648088,Halsted (Orange Line),Chicago,Orange,BRIDGEPORT,766196,275368,278633,405877,53.0,148877.0
103,41140,King Drive (Green Line),9,41.78013,-87.615546,King Drive (Green Line),Chicago,Green,WOODLAWN,139131,74689,64348,63011,45.0,91125.0
